heading,link,price,rating,reviews
heading,link,price,rating,reviews
heading,link,price,rating,reviews
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,499,4.3 out of 5 stars,"13,254"
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,"1,098",4.0 out of 5 stars,"56,370"
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,799,4.3 out of 5 stars,"6,894"
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack Made in India Compact Water-resistant Organized storage:Laptop sleevetablet pocketfront workstation2-side pocketsPadded adjustable shoulder straps",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,449,4.4 out of 5 stars,"5,288"
Safari Omega 30L Laptop Backpack with Raincover school bag for boys and girls college bag office bag travel bag for men and women Teal,https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G,699,4.0 out of 5 stars,161
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,374,3.9 out of 5 stars,"4,295"
Ezee Black Medium Garbage Bags 90 Pcs | 19 X 21 Inch | 30 Pcs x Pack of 3 | Dustbin Trash Bag,https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q,155,4.2 out of 5 stars,"28,709"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,689,4.1 out of 5 stars,"1,959"
POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 LTR Hedge Polyester - Black- Medium,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,"1,329",3.8 out of 5 stars,"1,339"
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,529,3.7 out of 5 stars,"2,775"
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Office Backpack for Men/Women - Brown,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,798,4.4 out of 5 stars,"6,245"
FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment USB Charging Port & Organizer Pocket for Men Women Boys Girls,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,649,4.1 out of 5 stars,"6,693"
ADISA Laptop Backpack 31 Ltrs,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,349,4.0 out of 5 stars,"9,235"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,689,3.9 out of 5 stars,"3,857"
Shalimar Premium OXO - Biodegradable Garbage Bags (Medium) Size 19 x 21 Inches 4 Rolls 120 Bags Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Rolls/dp/B07KT9Q54M,269,4.5 out of 5 stars,"18,734"
amazon basics Vacuum Compression Storage Bags with Hand Pump - Large 5-Pack,https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RSCPH4N,599,4.4 out of 5 stars,"11,768"
Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,399,3.9 out of 5 stars,"17,623"
FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment USB Charging Port & Organizer Pocket for Men Women Boys Girls,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,639,4.1 out of 5 stars,"6,693"
POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack Water Resistant and Light Weight 1 year Warranty,https://www.amazon.in/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q,549,4.0 out of 5 stars,"6,170"
Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6 Black),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4,289,4.4 out of 5 stars,"35,935"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,689,3.9 out of 5 stars,"3,857"
Mi Step Out 12 L Mini Backpack (Small Size Red Water Repellant),https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,229,4.1 out of 5 stars,"10,291"
Genie Camellia School Bag for Girls 17 inch Backpack for Women 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls,https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH,799,4.2 out of 5 stars,"3,741"
ADISA Women's Girls Party Sling Bag Crossbody,https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8,309,4.0 out of 5 stars,692
Mi Step Out 12 L Mini Backpack (Small Size Black Water Repellant),https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,229,4.1 out of 5 stars,"10,291"
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,229,4.0 out of 5 stars,"4,180"
Shalimar Premium OXO - Biodegradable Garbage Bags Size 19 X 21 Inches (Medium) 180 Bags (6 Rolls) Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Black/dp/B016DCB9OO,406,4.5 out of 5 stars,"9,742"
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,429,4.3 out of 5 stars,"9,383"
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7,849,4.0 out of 5 stars,"13,855"
Impulse IMP linear 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,https://www.amazon.in/Impulse-IMP-linear-Resistant-Navy/dp/B0CJJ15CM7,510,5.0 out of 5 stars,4
Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black Rectangular,https://www.amazon.in/Storite-Pack-Big-Underbed-Moisture/dp/B07B8K3RQK,699,4.4 out of 5 stars,"18,131"
Puma Unisex Gym Bag IND,https://www.amazon.in/Puma-Ltrs-Cms-Backpack-7837402_Grey/dp/B089T98TKG,619,4.0 out of 5 stars,501
Lenovo 15.6-inch Casual Laptop Briefcase T210,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,799,4.2 out of 5 stars,"21,727"
ROZEN 47 Ltrs 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex,https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22,697,4.1 out of 5 stars,346
FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment USB Charging Port & Organizer Pocket for Men Women Boys Girls,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,649,4.1 out of 5 stars,"6,693"
